true,pred,margin,true_label,pred_label
2,0,0.30000000000000004,other,hostile
1,2,0.25,endorsement,other
2,0,0.30000000000000004,other,hostile
1,0,0.09999999999999998,endorsement,hostile
1,0,0.25,endorsement,hostile
1,1,0.3,endorsement,endorsement
2,1,0.30000000000000004,other,endorsement
1,1,0.09999999999999998,endorsement,endorsement
0,2,0.0,hostile,other
0,0,0.09999999999999998,hostile,hostile
0,0,0.09999999999999998,hostile,hostile
0,0,0.09999999999999998,hostile,hostile
0,0,0.30000000000000004,hostile,hostile
0,0,0.09999999999999998,hostile,hostile
1,1,0.09999999999999998,endorsement,endorsement
0,2,0.25,hostile,other
0,1,0.09999999999999998,hostile,endorsement
0,0,0.09999999999999998,hostile,hostile
0,1,0.09999999999999998,hostile,endorsement
0,0,0.30000000000000004,hostile,hostile
0,1,0.3,hostile,endorsement
2,0,0.30000000000000004,other,hostile
0,0,0.09999999999999998,hostile,hostile
0,1,0.09999999999999998,hostile,endorsement
1,0,0.09999999999999998,endorsement,hostile
2,0,0.25,other,hostile
2,0,0.16666666666666663,other,hostile
0,1,0.30000000000000004,hostile,endorsement
0,1,0.09999999999999998,hostile,endorsement
2,1,0.09999999999999998,other,endorsement
2,2,0.25,other,other
2,0,0.09999999999999998,other,hostile
2,1,0.09999999999999998,other,endorsement
2,1,0.3,other,endorsement
2,1,0.09999999999999998,other,endorsement
1,1,0.09999999999999998,endorsement,endorsement
0,2,0.0,hostile,other
0,0,0.30000000000000004,hostile,hostile
1,1,0.3,endorsement,endorsement
1,1,0.3,endorsement,endorsement
1,2,0.16666666666666669,endorsement,other
1,0,0.16666666666666663,endorsement,hostile
0,0,0.25,hostile,hostile
0,2,0.16666666666666669,hostile,other
0,0,0.09999999999999998,hostile,hostile
1,1,0.3,endorsement,endorsement
0,0,0.25,hostile,hostile
0,0,0.3,hostile,hostile
1,0,0.16666666666666663,endorsement,hostile
0,0,0.25,hostile,hostile
2,2,0.16666666666666663,other,other
2,1,0.0,other,endorsement
1,1,0.25,endorsement,endorsement
1,2,0.0,endorsement,other
1,0,0.30000000000000004,endorsement,hostile
1,0,0.09999999999999998,endorsement,hostile
1,1,0.09999999999999998,endorsement,endorsement
0,1,0.30000000000000004,hostile,endorsement
1,1,0.09999999999999998,endorsement,endorsement
0,1,0.09999999999999998,hostile,endorsement
1,1,0.16666666666666669,endorsement,endorsement
0,1,0.09999999999999998,hostile,endorsement
0,0,0.09999999999999998,hostile,hostile
0,0,0.30000000000000004,hostile,hostile
2,0,0.30000000000000004,other,hostile
1,1,0.3,endorsement,endorsement
0,0,0.09999999999999998,hostile,hostile
2,0,0.09999999999999998,other,hostile
0,0,0.30000000000000004,hostile,hostile
0,1,0.3,hostile,endorsement
1,0,0.0,endorsement,hostile
0,1,0.30000000000000004,hostile,endorsement
2,1,0.3,other,endorsement
1,1,0.3,endorsement,endorsement
1,1,0.3,endorsement,endorsement
1,1,0.09999999999999998,endorsement,endorsement
1,1,0.09999999999999998,endorsement,endorsement
2,0,0.3,other,hostile
1,1,0.3,endorsement,endorsement
1,1,0.3,endorsement,endorsement
1,0,0.3,endorsement,hostile
1,1,0.3,endorsement,endorsement
1,1,0.09999999999999998,endorsement,endorsement
1,1,0.09999999999999998,endorsement,endorsement
0,1,0.09999999999999998,hostile,endorsement
1,1,0.3,endorsement,endorsement
1,1,0.09999999999999998,endorsement,endorsement
1,2,0.16666666666666669,endorsement,other
1,2,0.16666666666666669,endorsement,other
1,0,0.0,endorsement,hostile
2,2,0.0,other,other
2,1,0.09999999999999998,other,endorsement
1,1,0.3,endorsement,endorsement
1,1,0.09999999999999998,endorsement,endorsement
1,1,0.3,endorsement,endorsement
1,0,0.30000000000000004,endorsement,hostile
1,0,0.30000000000000004,endorsement,hostile
0,0,0.30000000000000004,hostile,hostile
1,0,0.09999999999999998,endorsement,hostile
0,1,0.09999999999999998,hostile,endorsement
1,0,0.30000000000000004,endorsement,hostile
1,0,0.30000000000000004,endorsement,hostile
2,1,0.25,other,endorsement
1,1,0.09999999999999998,endorsement,endorsement
2,1,0.09999999999999998,other,endorsement
2,2,0.16666666666666663,other,other
2,2,0.16666666666666663,other,other
1,2,0.16666666666666663,endorsement,other
2,1,0.16666666666666669,other,endorsement
1,0,0.30000000000000004,endorsement,hostile
1,1,0.09999999999999998,endorsement,endorsement
2,2,0.25,other,other
0,2,0.25,hostile,other
1,1,0.3,endorsement,endorsement
1,2,0.0,endorsement,other
2,0,0.09999999999999998,other,hostile
1,1,0.3,endorsement,endorsement
1,1,0.09999999999999998,endorsement,endorsement
1,0,0.09999999999999998,endorsement,hostile
1,1,0.3,endorsement,endorsement
1,1,0.3,endorsement,endorsement
0,0,0.30000000000000004,hostile,hostile
1,1,0.3,endorsement,endorsement
1,1,0.3,endorsement,endorsement
2,0,0.09999999999999998,other,hostile
2,1,0.16666666666666669,other,endorsement
0,0,0.30000000000000004,hostile,hostile
2,0,0.09999999999999998,other,hostile
2,0,0.09999999999999998,other,hostile
2,1,0.3,other,endorsement
2,0,0.09999999999999998,other,hostile
0,2,0.0,hostile,other
1,1,0.09999999999999998,endorsement,endorsement
0,0,0.25,hostile,hostile
1,1,0.0,endorsement,endorsement
0,1,0.30000000000000004,hostile,endorsement
